,region,year,unemployment_rate
146,Jihočeský kraj,2009,4.2756551206
147,Plzeňský kraj,2009,6.2918484404
148,Karlovarský kraj,2009,10.9119902491
149,Ústecký kraj,2009,10.0652999098
150,Liberecký kraj,2009,7.8333861438
151,Královéhradecký kraj,2009,7.6999826568
152,Pardubický kraj,2009,6.4319210859
153,Kraj Vysočina,2009,5.6723236681
154,Jihomoravský kraj,2009,6.8333841508
155,Olomoucký kraj,2009,7.6369174628
156,Zlínský kraj,2009,7.2794127256
157,Moravskoslezský kraj,2009,9.6764850264
160,Hlavní město Praha,2010,3.7535168667
161,Středočeský kraj,2010,5.2410329528
162,Jihočeský kraj,2010,5.3046795588
163,Plzeňský kraj,2010,5.8653625494
164,Karlovarský kraj,2010,10.8162450822
165,Ústecký kraj,2010,11.1556495613
166,Liberecký kraj,2010,6.9716194142
167,Královéhradecký kraj,2010,6.8563689267
168,Pardubický kraj,2010,7.2451993065
169,Kraj Vysočina,2010,6.923792264
170,Jihomoravský kraj,2010,7.7037992896
171,Olomoucký kraj,2010,9.0513475158
172,Zlínský kraj,2010,8.4988890691
173,Moravskoslezský kraj,2010,10.1556179347
175,"Český statistický úřad, Veřejná databáze",2010,Podmínky užívání dat ČSÚ
176,Hlavní město Praha,2011,3.6238982008
177,Středočeský kraj,2011,5.0845465263
178,Jihočeský kraj,2011,5.5191778888
179,Plzeňský kraj,2011,5.1694094693
180,Karlovarský kraj,2011,8.5435614742
181,Ústecký kraj,2011,9.882583025
182,Liberecký kraj,2011,7.2460068187
183,Královéhradecký kraj,2011,7.1162318796
184,Pardubický kraj,2011,5.5738216774
185,Kraj Vysočina,2011,6.4435871184
186,Jihomoravský kraj,2011,7.5367099516
187,Olomoucký kraj,2011,7.5918770331
188,Zlínský kraj,2011,7.6447857022
189,Moravskoslezský kraj,2011,9.3257765346
192,Hlavní město Praha,2012,3.1302968478
193,Středočeský kraj,2012,4.6265331103
194,Jihočeský kraj,2012,5.6989651434
195,Plzeňský kraj,2012,4.8325654702
196,Karlovarský kraj,2012,10.4775527279
197,Ústecký kraj,2012,10.7544899156
198,Liberecký kraj,2012,9.3489237743
199,Královéhradecký kraj,2012,7.0987501365
200,Pardubický kraj,2012,7.7362698529
201,Kraj Vysočina,2012,6.3557173451
202,Jihomoravský kraj,2012,8.0998384882
203,Olomoucký kraj,2012,7.724833626
204,Zlínský kraj,2012,7.3530830131
205,Moravskoslezský kraj,2012,9.5155588866
208,Hlavní město Praha,2013,3.1345196709
209,Středočeský kraj,2013,5.2101799548
210,Jihočeský kraj,2013,5.1933948778
211,Plzeňský kraj,2013,5.2139312774
212,Karlovarský kraj,2013,10.2109810353
213,Ústecký kraj,2013,9.4134910598
214,Liberecký kraj,2013,8.2813838171
215,Královéhradecký kraj,2013,8.1874846147
216,Pardubický kraj,2013,8.4053559434
217,Kraj Vysočina,2013,6.7272454434
218,Jihomoravský kraj,2013,6.8025957763
219,Olomoucký kraj,2013,9.2045495491
220,Zlínský kraj,2013,6.804486264
221,Moravskoslezský kraj,2013,9.8869884308
224,Hlavní město Praha,2014,2.4860808578
225,Středočeský kraj,2014,5.1301807255
226,Jihočeský kraj,2014,5.8529713287
227,Plzeňský kraj,2014,5.0716904473
228,Karlovarský kraj,2014,9.0380613669
229,Ústecký kraj,2014,8.5116280866
230,Liberecký kraj,2014,6.5087434202
231,Královéhradecký kraj,2014,6.1657366699
232,Pardubický kraj,2014,6.3906956452
233,Kraj Vysočina,2014,5.5697503521
234,Jihomoravský kraj,2014,6.0928067632
235,Olomoucký kraj,2014,7.6922486104
236,Zlínský kraj,2014,6.0885252064
237,Moravskoslezský kraj,2014,8.6353991481
240,Hlavní město Praha,2015,2.8085179283
241,Středočeský kraj,2015,3.4571944372
242,Jihočeský kraj,2015,3.9921160272
243,Plzeňský kraj,2015,3.790080343
244,Karlovarský kraj,2015,6.6963568829
245,Ústecký kraj,2015,7.5676703404
246,Liberecký kraj,2015,5.4890931279
247,Královéhradecký kraj,2015,5.6097862853
248,Pardubický kraj,2015,4.5834982269
249,Kraj Vysočina,2015,4.7268399325
250,Jihomoravský kraj,2015,4.9746841304
251,Olomoucký kraj,2015,5.921559154
252,Zlínský kraj,2015,4.7051157104
253,Moravskoslezský kraj,2015,8.1358129189
256,Hlavní město Praha,2016,2.2452428246
257,Středočeský kraj,2016,3.1120242255
258,Jihočeský kraj,2016,2.7697301261
259,Plzeňský kraj,2016,3.4231943256
260,Karlovarský kraj,2016,5.3521536345
261,Ústecký kraj,2016,5.1411112204
262,Liberecký kraj,2016,4.4076625713
263,Královéhradecký kraj,2016,4.0640322468
264,Pardubický kraj,2016,3.6829831846
265,Kraj Vysočina,2016,3.1726717787
266,Jihomoravský kraj,2016,3.8595705914
267,Olomoucký kraj,2016,3.7032318998
268,Zlínský kraj,2016,4.0481869996
269,Moravskoslezský kraj,2016,6.9123110442
272,Hlavní město Praha,2017,1.7184303673
273,Středočeský kraj,2017,2.1284341984
274,Jihočeský kraj,2017,2.1939017521
275,Plzeňský kraj,2017,1.943634388
276,Karlovarský kraj,2017,3.2946119224
277,Ústecký kraj,2017,3.4913535593
278,Liberecký kraj,2017,3.72714844
279,Královéhradecký kraj,2017,2.223562577
280,Pardubický kraj,2017,2.7380363785
281,Kraj Vysočina,2017,2.6964999787
282,Jihomoravský kraj,2017,3.3252093734
283,Olomoucký kraj,2017,3.1242006584
284,Zlínský kraj,2017,3.5791341157
285,Moravskoslezský kraj,2017,4.7118896771
288,Hlavní město Praha,2018,1.2746494374
289,Středočeský kraj,2018,1.9678593843
290,Jihočeský kraj,2018,1.4163892724
291,Plzeňský kraj,2018,1.5275207169
292,Karlovarský kraj,2018,2.8850560411
293,Ústecký kraj,2018,3.6265059933
294,Liberecký kraj,2018,1.8770897575
295,Královéhradecký kraj,2018,2.2968164274
296,Pardubický kraj,2018,1.7150275715
297,Kraj Vysočina,2018,1.7053776179
298,Jihomoravský kraj,2018,2.6104842169
299,Olomoucký kraj,2018,2.5671876278
300,Zlínský kraj,2018,1.7715314836
301,Moravskoslezský kraj,2018,3.6790545613
304,Hlavní město Praha,2019,1.3049909141
305,Středočeský kraj,2019,1.3231707107
306,Jihočeský kraj,2019,1.7774302059
307,Plzeňský kraj,2019,1.2758090046
308,Karlovarský kraj,2019,4.1853600726
309,Ústecký kraj,2019,2.5119948607
310,Liberecký kraj,2019,1.8483576434
311,Královéhradecký kraj,2019,1.6433966467
312,Pardubický kraj,2019,1.5969240479
313,Kraj Vysočina,2019,1.3876305939
314,Jihomoravský kraj,2019,2.1202270502
315,Olomoucký kraj,2019,2.4475895635
316,Zlínský kraj,2019,1.9530493679
317,Moravskoslezský kraj,2019,3.6637559646
320,Hlavní město Praha,2020,2.2696005705
321,Středočeský kraj,2020,1.9480011253
322,Jihočeský kraj,2020,1.7821589746
323,Plzeňský kraj,2020,2.2016867193
324,Karlovarský kraj,2020,4.7203580879
325,Ústecký kraj,2020,3.6757318741
326,Liberecký kraj,2020,2.9063724098
327,Královéhradecký kraj,2020,2.5741849088
328,Pardubický kraj,2020,1.6115583167
329,Kraj Vysočina,2020,2.2228186794
330,Jihomoravský kraj,2020,2.2903756272
331,Olomoucký kraj,2020,3.0678383973
332,Zlínský kraj,2020,1.9218596789
333,Moravskoslezský kraj,2020,3.6114661356
336,Hlavní město Praha,2021,2.3043663066
337,Středočeský kraj,2021,2.4952993293
338,Jihočeský kraj,2021,1.7649044756
339,Plzeňský kraj,2021,3.0584624956
340,Karlovarský kraj,2021,5.6563487791
341,Ústecký kraj,2021,3.7328378134
342,Liberecký kraj,2021,2.6077666935
343,Královéhradecký kraj,2021,2.298988506
344,Pardubický kraj,2021,2.2878182199
345,Kraj Vysočina,2021,2.122061959
346,Jihomoravský kraj,2021,2.5321888958
347,Olomoucký kraj,2021,2.6201016459
348,Zlínský kraj,2021,1.8428508965
349,Moravskoslezský kraj,2021,4.5692563971
352,Hlavní město Praha,2022,1.6035570669
353,Středočeský kraj,2022,1.2363587183
354,Jihočeský kraj,2022,1.3570144816
355,Plzeňský kraj,2022,2.073530711
356,Karlovarský kraj,2022,3.9525194619
357,Ústecký kraj,2022,2.9910201434
358,Liberecký kraj,2022,2.0210744513
359,Královéhradecký kraj,2022,2.6931936897
360,Pardubický kraj,2022,1.8300517902
361,Kraj Vysočina,2022,1.5688577995
362,Jihomoravský kraj,2022,1.8058242167
363,Olomoucký kraj,2022,3.4102884773
364,Zlínský kraj,2022,2.0290245669
365,Moravskoslezský kraj,2022,3.9542250779
367,"Český statistický úřad, Veřejná databáze",2022,vygenerováno  21.04.2025 20:55
368,Hlavní město Praha,2023,2.0510858832
369,Středočeský kraj,2023,1.7017902856
370,Jihočeský kraj,2023,1.720165731
371,Plzeňský kraj,2023,2.0505353689
372,Karlovarský kraj,2023,4.254329945
373,Ústecký kraj,2023,4.0448044939
374,Liberecký kraj,2023,3.3401647614
375,Královéhradecký kraj,2023,3.2155922523
376,Pardubický kraj,2023,1.8939223285
377,Kraj Vysočina,2023,1.4785364558
378,Jihomoravský kraj,2023,2.5288123449
379,Olomoucký kraj,2023,2.7542195915
380,Zlínský kraj,2023,2.2971530955
381,Moravskoslezský kraj,2023,3.9031952349
